Player,Shot_Number,Shot_Type,Start_Frame,End_Frame,Duration_Seconds,Max_Racket_Velocity_px_s,Avg_Racket_Velocity_px_s,Min_Hip_Knee_Angle_deg,Avg_Hip_Knee_Angle_deg,Min_Elbow_Angle_deg,Avg_Elbow_Angle_deg,Avg_Torso_Angle_deg,CoG_Horizontal_Movement_px,CoG_Vertical_Movement_px
Player_1,75,Backhand,3260,3261,0.03,276.65,138.32,169.35,169.97,163.28,163.47,160.26,0.82,0.93
Player_1,76,Backhand,3270,3275,0.17,2826.14,896.44,163.61,170.32,137.52,146.44,167.42,19.81,18.8
Player_1,77,Forehand,3380,3382,0.07,854.65,413.33,169.51,170.19,127.03,128.56,125.83,2.61,12.59
Player_1,78,Forehand,3386,3388,0.07,522.03,275.46,168.56,170.19,128.07,131.56,123.19,5.48,3.5
Player_1,79,Forehand,3392,3393,0.03,287.65,143.83,166.88,168.09,126.81,128.13,120.71,3.33,1.1
Player_1,80,Forehand,3459,3460,0.03,479.19,239.6,176.41,176.83,84.19,84.99,174.36,6.07,1.67
Player_1,81,Backhand,3467,3469,0.07,557.21,345.89,166.92,169.34,93.98,96.23,177.22,7.82,5.36
Player_1,82,Backhand,3472,3473,0.03,321.19,160.59,173.5,173.54,111.99,113.34,178.19,0.26,0.21
Player_1,83,Forehand,3675,3677,0.07,623.93,365.55,178.01,178.47,130.81,132.15,177.18,0.71,4.81
Player_1,84,Backhand,3772,3776,0.13,1800.87,827.92,166.47,170.9,142.2,146.98,164.73,6.64,7.87
Player_1,85,Backhand,3786,3787,0.03,443.95,221.98,160.81,161.03,131.33,131.36,168.12,1.62,2.12
Player_1,86,Forehand,3855,3856,0.03,408.64,204.32,167.65,167.83,104.48,104.99,179.8,1.57,0.31
Player_1,87,Forehand,3860,3861,0.03,342.03,171.01,168.41,168.69,101.47,102.33,177.44,0.95,0.84
Player_1,88,Forehand,3873,3874,0.03,319.55,159.77,169.42,171.12,95.49,99.27,175.36,2.44,4.95
Player_1,89,Backhand,3899,3907,0.27,1991.15,839.25,160.15,162.04,138.56,145.04,167.2,5.77,9.87
Player_1,90,Backhand,3994,4000,0.2,1184.71,656.32,166.53,168.04,133.49,144.02,164.43,9.32,8.45
Player_1,91,Backhand,4011,4014,0.1,2347.08,944.96,160.83,162.47,142.28,146.27,165.62,10.02,3.79
Player_1,92,Forehand,4021,4022,0.03,339.73,169.87,158.87,160.75,133.11,135.5,171.43,5.06,1.86
Player_1,93,Backhand,4088,4090,0.07,655.0,271.76,170.13,170.89,133.16,134.8,177.21,2.77,6.48
Player_1,94,Backhand,4287,4288,0.03,232.37,116.18,174.16,174.22,138.22,139.27,171.98,0.74,0.04
Player_1,95,Backhand,4399,4400,0.03,132.99,66.5,159.42,159.78,138.31,139.03,167.02,0.45,0.96
Player_1,96,Backhand,4402,4403,0.03,404.15,202.07,162.75,162.76,133.67,133.78,172.13,0.45,0.75
Player_1,97,Forehand,4500,4505,0.17,3783.05,1440.71,174.45,175.38,107.1,134.42,164.06,14.13,7.87
